Title,Duration,Date,Time,Location,ImageURL,Description,StartDatetime,EndDatetime,Start,End
The roundup,106,06/09,19h00,Salle 500,https://www.etrangefestival.com/images/movies/f6a7648a9ad1f327697376881d0638a4f61f9914.jpg,06/09 - 19h00 - Salle 500 - 106 min,2023-09-06 19:00:00,2023-09-06 20:46:00,2023-09-06T19:00:00,2023-09-06T20:46:00
The roundup,106,10/09,21h00,Salle 500,https://www.etrangefestival.com/images/movies/f6a7648a9ad1f327697376881d0638a4f61f9914.jpg,10/09 - 21h00 - Salle 500 - 106 min,2023-09-10 21:00:00,2023-09-10 22:46:00,2023-09-10T21:00:00,2023-09-10T22:46:00
Tout fout le camp,94,10/09,21h30,Salle 300,https://www.etrangefestival.com/images/movies/161c5e9f4239d6236f6b5ce2a7726d65eecd5ed3.jpg,10/09 - 21h30 - Salle 300 - 94 min,2023-09-10 21:30:00,2023-09-10 23:04:00,2023-09-10T21:30:00,2023-09-10T23:04:00
Shanks,93,11/09,14h00,Salle 100,https://www.etrangefestival.com/images/movies/b21f97fa8848b52229c13ac76b357495ea2ea06d.jpg,11/09 - 14h00 - Salle 100 - 93 min,2023-09-11 14:00:00,2023-09-11 15:33:00,2023-09-11T14:00:00,2023-09-11T15:33:00
Shanks,93,15/09,17h00,Salle 100,https://www.etrangefestival.com/images/movies/b21f97fa8848b52229c13ac76b357495ea2ea06d.jpg,15/09 - 17h00 - Salle 100 - 93 min,2023-09-15 17:00:00,2023-09-15 18:33:00,2023-09-15T17:00:00,2023-09-15T18:33:00
Mon visage embrasé au soleil couchant,82,11/09,14h45,Salle 300,https://www.etrangefestival.com/images/movies/d774d74dfaf6eb3f9462df6cadd59445126263ca.jpg,11/09 - 14h45 - Salle 300 - 82 min,2023-09-11 14:45:00,2023-09-11 16:07:00,2023-09-11T14:45:00,2023-09-11T16:07:00
Mon visage embrasé au soleil couchant,82,12/09,17h45,Salle 300,https://www.etrangefestival.com/images/movies/d774d74dfaf6eb3f9462df6cadd59445126263ca.jpg,12/09 - 17h45 - Salle 300 - 82 min,2023-09-12 17:45:00,2023-09-12 19:07:00,2023-09-12T17:45:00,2023-09-12T19:07:00
Dual + Apologie des zèbres albinos,113,11/09,16h45,Salle 300,https://www.etrangefestival.com/images/programs/73697bc2ef930fb860957c30eea34719512780ff.jpg,11/09 - 16h45 - Salle 300 - 113 min,2023-09-11 16:45:00,2023-09-11 18:38:00,2023-09-11T16:45:00,2023-09-11T18:38:00
Assassinat,104,11/09,19h15,Salle 300,https://www.etrangefestival.com/images/movies/b28e0a82a0056e681a7661f7ad13246754903607.jpg,11/09 - 19h15 - Salle 300 - 104 min,2023-09-11 19:15:00,2023-09-11 20:59:00,2023-09-11T19:15:00,2023-09-11T20:59:00
Assassinat,104,12/09,15h30,Salle 300,https://www.etrangefestival.com/images/movies/b28e0a82a0056e681a7661f7ad13246754903607.jpg,12/09 - 15h30 - Salle 300 - 104 min,2023-09-12 15:30:00,2023-09-12 17:14:00,2023-09-12T15:30:00,2023-09-12T17:14:00
Steven Arnold: Heavenly Bodies,80,11/09,19h30,Salle 100,https://www.etrangefestival.com/images/movies/23dab258a60432198d28ecad6332312741fbe6ed.jpg,11/09 - 19h30 - Salle 100 - 80 min,2023-09-11 19:30:00,2023-09-11 20:50:00,2023-09-11T19:30:00,2023-09-11T20:50:00
Steven Arnold: Heavenly Bodies,80,12/09,22h15,Salle 100,https://www.etrangefestival.com/images/movies/23dab258a60432198d28ecad6332312741fbe6ed.jpg,12/09 - 22h15 - Salle 100 - 80 min,2023-09-12 22:15:00,2023-09-12 23:35:00,2023-09-12T22:15:00,2023-09-12T23:35:00
La Piedad,80,11/09,19h45,Salle 500,https://www.etrangefestival.com/images/movies/ba809464e860dda6437e01131567f1b118750b56.jpg,11/09 - 19h45 - Salle 500 - 80 min,2023-09-11 19:45:00,2023-09-11 21:05:00,2023-09-11T19:45:00,2023-09-11T21:05:00
